Decade,Song,Artist,Weeks at Number One,Date,Song of the Year
1990,Precious Declaration,Collective Soul,4,1997-04-12,False
1990,Gone Away,The Offspring,2,1997-05-10,False
1990,Little White Lie,Sammy Hagar,5,1997-05-24,False
1990,If You Could Only See,Tonic,5,1997-06-28,True
1990,Listen,Collective Soul,5,1997-08-02,False
1990,Pink,Aerosmith,4,1997-09-06,False
1990,"Touch, Peel and Stand",Days of the New,16,1997-10-04,False
1990,Given to Fly,Pearl Jam,6,1998-01-24,False
1990,Without You,Van Halen,6,1998-03-07,False
1990,Blue on Black,Kenny Wayne Shepherd Band,3,1998-04-18,True
1990,Most High,Jimmy Page & Robert Plant,2,1998-05-09,False
1990,Blue on Black,Kenny Wayne Shepherd Band,2,1998-05-23,True
1990,I Lie in the Bed I Make,Brother Cane,4,1998-06-06,False
1990,Blue on Black,Kenny Wayne Shepherd Band,1,1998-07-04,True
1990,The Down Town,Days of the New,10,1998-07-11,False
1990,What's This Life For,Creed,6,1998-09-19,False
1990,Psycho Circus,Kiss,1,1998-10-31,False
1990,Fly Away,Lenny Kravitz,3,1998-11-07,False
1990,Turn the Page,Metallica,11,1998-11-28,False
1990,What It's Like,Everlast,1,1999-02-13,False
1990,Heavy,Collective Soul,15,1999-02-20,False
1990,Lit Up,Buckcherry,3,1999-06-05,False
1990,Promises,Def Leppard,3,1999-06-26,False
1990,Scar Tissue,Red Hot Chili Peppers,10,1999-07-17,False
1990,Higher,Creed,14,1999-09-25,False
2000,Higher,Creed,3,2000-01-01,False
2000,No Leaf Clover,Metallica,7,2000-01-22,False
2000,Stiff Upper Lip,AC/DC,4,2000-03-11,False
2000,Kryptonite,3 Doors Down,9,2000-04-08,True
2000,I Disappear,Metallica,4,2000-06-10,False
2000,With Arms Wide Open,Creed,4,2000-07-08,False
2000,I Disappear,Metallica,3,2000-08-05,False
2000,Californication,Red Hot Chili Peppers,2,2000-08-26,False
2000,Loser,3 Doors Down,21,2000-09-09,False
2000,Awake,Godsmack,1,2001-02-03,False
2000,Jaded,Aerosmith,5,2001-02-10,False
2000,Outside,Aaron Lewis with Fred Durst,2,2001-03-17,False
2000,Breakdown,Tantric,1,2001-03-31,False
2000,Duck and Run,3 Doors Down,3,2001-04-07,False
2000,It's Been Awhile,Staind,20,2001-04-28,True
2000,How You Remind Me,Nickelback,13,2001-09-15,False
2000,My Sacrifice,Creed,9,2001-12-15,False
2000,Blurry,Puddle of Mudd,10,2002-02-16,True
2000,Too Bad,Nickelback,3,2002-04-27,False
2000,I Stand Alone,Godsmack,4,2002-05-18,False
2000,Hero,Chad Kroeger ,2,2002-06-15,False
2000,Drift & Die,Puddle of Mudd,6,2002-06-29,False
2000,By the Way,Red Hot Chili Peppers,7,2002-08-10,False
2000,Aerials,System of a Down,1,2002-09-28,False
2000,Never Again,Nickelback,3,2002-10-05,False
2000,She Hates Me,Puddle of Mudd,1,2002-10-26,False
2000,You Know You're Right,Nirvana,4,2002-11-02,False
2000,When I'm Gone,3 Doors Down,17,2002-11-30,False
2000,Straight Out of Line,Godsmack,2,2003-03-29,False
2000,Somewhere I Belong,Linkin Park,1,2003-04-12,False
2000,Like a Stone,Audioslave,12,2003-04-19,False
2000,Send the Pain Below,Chevelle,2,2003-07-12,False
2000,Headstrong,Trapt,1,2003-07-26,True
2000,Send the Pain Below,Chevelle,2,2003-08-02,False
2000,So Far Away,Staind,14,2003-08-16,False
2000,Weak and Powerless,A Perfect Circle,2,2003-11-22,False
2000,Still Frame,Trapt,1,2003-12-06,False
2000,Away from Me,Puddle of Mudd,3,2003-12-13,False
2000,Numb,Linkin Park,3,2004-01-03,False
2000,Figured You Out,Nickelback,13,2004-01-24,True
2000,Cold Hard Bitch,Jet,8,2004-04-24,False
2000,Slither,Velvet Revolver,9,2004-06-19,False
2000,Just Like You,Three Days Grace,3,2004-08-21,False
2000,Breaking the Habit,Linkin Park,3,2004-09-11,False
2000,Fall to Pieces,Velvet Revolver,11,2004-10-02,False
2000,Vitamin R ,Chevelle,2,2004-12-18,False
2000,Boulevard of Broken Dreams,Green Day,14,2005-01-01,True
2000,Be Yourself,Audioslave,7,2005-04-09,False
2000,Happy?,Mudvayne,1,2005-05-28,False
2000,Holiday,Green Day,3,2005-06-04,False
2000,Remedy,Seether,5,2005-06-25,False
2000,Best of You,Foo Fighters,4,2005-07-30,False
2000,Remedy,Seether,3,2005-08-27,False
2000,Right Here,Staind,2,2005-09-17,False
2000,Photograph,Nickelback,7,2005-10-01,False
2000,Save Me,Shinedown,12,2005-11-19,False
2000,Animals,Nickelback,6,2006-02-11,False
2000,Speak,Godsmack,6,2006-03-25,False
2000,Dani California,Red Hot Chili Peppers,12,2006-05-06,False
2000,Animal I Have Become,Three Days Grace,7,2006-07-29,True
2000,Through Glass,Stone Sour,7,2006-09-16,False
2000,Land of Confusion,Disturbed,3,2006-11-04,False
2000,The Pot,Tool,4,2006-11-25,False
2000,Pain,Three Days Grace,13,2006-12-23,False
2000,Breath,Breaking Benjamin,7,2007-03-24,False
2000,What I've Done,Linkin Park,8,2007-05-12,False
2000,I Don't Wanna Stop,Ozzy Osbourne,5,2007-07-07,False
2000,Paralyzer,Finger Eleven,1,2007-08-11,False
2000,Never Too Late,Three Days Grace,7,2007-08-18,False
2000,The Pretender,Foo Fighters,6,2007-10-06,False
